Source;Target;Label;Weight;Type
84;2411;5;0.2;undirected
84;2412;8;0.125;undirected
84;2413;7;0.142857143;undirected
85;1074;12;0.083333333;undirected
85;1828;10;0.1;undirected
85;1609;10;0.1;undirected
85;1824;6;0.166666667;undirected
85;2414;7;0.142857143;undirected
85;2415;10;0.1;undirected
86;1570;6;0.166666667;undirected
86;1415;7;0.142857143;undirected
86;2416;9;0.111111111;undirected
86;2417;8;0.125;undirected
86;1650;8;0.125;undirected
86;2102;11;0.090909091;undirected
87;2418;13;0.076923077;undirected
87;2419;14;0.071428571;undirected
87;1467;8;0.125;undirected
87;2420;10;0.1;undirected
87;2421;14;0.071428571;undirected
87;2422;8;0.125;undirected
88;2423;6;0.166666667;undirected
88;1447;10;0.1;undirected
88;1115;9;0.111111111;undirected
88;1068;10;0.1;undirected
88;1318;5;0.2;undirected
88;2424;7;0.142857143;undirected
89;1276;11;0.090909091;undirected
89;2425;8;0.125;undirected
89;2426;11;0.090909091;undirected
89;1311;5;0.2;undirected
89;2427;11;0.090909091;undirected
89;1027;7;0.142857143;undirected
91;2428;13;0.076923077;undirected
91;2429;7;0.142857143;undirected
91;1818;3;0.333333333;undirected
91;2430;12;0.083333333;undirected
91;2431;9;0.111111111;undirected
91;2432;9;0.111111111;undirected
93;2433;9;0.111111111;undirected
93;2434;15;0.066666667;undirected
93;1617;10;0.1;undirected
93;1036;11;0.090909091;undirected
93;1131;6;0.166666667;undirected
93;1398;14;0.071428571;undirected
94;2435;7;0.142857143;undirected
94;1445;6;0.166666667;undirected
94;2436;8;0.125;undirected
94;1372;6;0.166666667;undirected
94;2437;10;0.1;undirected
94;2438;14;0.071428571;undirected
95;1159;9;0.111111111;undirected
95;2439;9;0.111111111;undirected
95;2440;9;0.111111111;undirected
95;2441;11;0.090909091;undirected
95;2442;6;0.166666667;undirected
95;2443;9;0.111111111;undirected
97;2444;9;0.111111111;undirected
97;2445;8;0.125;undirected
97;1021;12;0.083333333;undirected
97;2446;10;0.1;undirected
97;2447;5;0.2;undirected
97;2448;9;0.111111111;undirected
98;2449;10;0.1;undirected
98;1149;5;0.2;undirected
98;2450;4;0.25;undirected
98;2451;9;0.111111111;undirected
98;2452;8;0.125;undirected
98;2453;9;0.111111111;undirected
100;2144;11;0.090909091;undirected
100;1442;5;0.2;undirected
100;1773;11;0.090909091;undirected
100;1811;7;0.142857143;undirected
100;1804;9;0.111111111;undirected
100;1976;9;0.111111111;undirected
101;1997;4;0.25;undirected
101;2454;7;0.142857143;undirected
101;1540;13;0.076923077;undirected
101;1461;9;0.111111111;undirected
101;2455;9;0.111111111;undirected
101;1925;8;0.125;undirected
102;2456;14;0.071428571;undirected
102;2457;5;0.2;undirected
102;2110;10;0.1;undirected
102;2458;11;0.090909091;undirected
102;2167;9;0.111111111;undirected
102;2014;8;0.125;undirected
103;1100;10;0.1;undirected
103;2459;5;0.2;undirected
103;1095;3;0.333333333;undirected
103;2460;7;0.142857143;undirected
103;1914;7;0.142857143;undirected
103;2153;10;0.1;undirected
104;2461;5;0.2;undirected
104;1020;8;0.125;undirected
104;2462;14;0.071428571;undirected
104;2463;10;0.1;undirected
104;2464;7;0.142857143;undirected
104;2465;12;0.083333333;undirected
106;1682;5;0.2;undirected
106;1125;8;0.125;undirected
106;1862;7;0.142857143;undirected
106;1395;9;0.111111111;undirected
106;1346;10;0.1;undirected
106;1283;9;0.111111111;undirected
107;1605;8;0.125;undirected
107;1166;9;0.111111111;undirected
107;1944;8;0.125;undirected
107;1643;9;0.111111111;undirected
107;2466;6;0.166666667;undirected
107;1411;9;0.111111111;undirected
108;1797;15;0.066666667;undirected
108;1278;9;0.111111111;undirected
108;1098;11;0.090909091;undirected
108;1272;14;0.071428571;undirected
108;2467;8;0.125;undirected
108;2123;9;0.111111111;undirected
110;2468;7;0.142857143;undirected
110;1382;7;0.142857143;undirected
110;1359;7;0.142857143;undirected
110;1941;10;0.1;undirected
110;1370;11;0.090909091;undirected
110;1869;10;0.1;undirected
111;1438;10;0.1;undirected
111;2469;13;0.076923077;undirected
111;1329;4;0.25;undirected
111;2470;7;0.142857143;undirected
111;2471;10;0.1;undirected
111;2472;11;0.090909091;undirected
112;2473;9;0.111111111;undirected
112;2161;6;0.166666667;undirected
112;2474;5;0.2;undirected
112;1439;6;0.166666667;undirected
112;2475;7;0.142857143;undirected
112;2476;12;0.083333333;undirected
113;2477;11;0.090909091;undirected
113;2478;7;0.142857143;undirected
113;2479;13;0.076923077;undirected
113;2480;8;0.125;undirected
113;1151;16;0.0625;undirected
113;2481;9;0.111111111;undirected
115;2081;7;0.142857143;undirected
115;2482;4;0.25;undirected
115;2483;4;0.25;undirected
115;2063;12;0.083333333;undirected
115;2185;6;0.166666667;undirected
115;1953;3;0.333333333;undirected
116;1822;4;0.25;undirected
116;2484;3;0.333333333;undirected
116;2485;4;0.25;undirected
116;2056;8;0.125;undirected
116;1288;8;0.125;undirected
116;2486;9;0.111111111;undirected
117;2073;5;0.2;undirected
117;1030;9;0.111111111;undirected
117;1778;8;0.125;undirected
117;2043;10;0.1;undirected
117;2487;4;0.25;undirected
117;2488;9;0.111111111;undirected
118;1534;6;0.166666667;undirected
118;1963;11;0.090909091;undirected
118;1226;7;0.142857143;undirected
118;1845;9;0.111111111;undirected
118;2489;7;0.142857143;undirected
118;2027;10;0.1;undirected
119;2490;7;0.142857143;undirected
119;1241;3;0.333333333;undirected
119;2491;10;0.1;undirected
119;1291;5;0.2;undirected
119;2492;4;0.25;undirected
119;2493;3;0.333333333;undirected
120;1063;16;0.0625;undirected
120;2494;9;0.111111111;undirected
120;1814;10;0.1;undirected
120;2068;4;0.25;undirected
120;1520;5;0.2;undirected
120;1600;12;0.083333333;undirected
121;1417;7;0.142857143;undirected
121;2495;12;0.083333333;undirected
121;2157;8;0.125;undirected
121;1877;10;0.1;undirected
121;2173;11;0.090909091;undirected
121;1626;5;0.2;undirected
122;2496;7;0.142857143;undirected
122;2497;9;0.111111111;undirected
122;1951;7;0.142857143;undirected
122;2190;9;0.111111111;undirected
122;2498;7;0.142857143;undirected
122;2499;9;0.111111111;undirected
123;1065;10;0.1;undirected
123;2500;9;0.111111111;undirected
123;2501;4;0.25;undirected
123;2502;5;0.2;undirected
123;2503;9;0.111111111;undirected
123;1917;8;0.125;undirected
124;2504;12;0.083333333;undirected
124;2505;6;0.166666667;undirected
124;2506;11;0.090909091;undirected
124;2507;17;0.058823529;undirected
124;1615;6;0.166666667;undirected
124;2508;9;0.111111111;undirected
125;1781;10;0.1;undirected
125;2509;7;0.142857143;undirected
125;2510;9;0.111111111;undirected
125;2511;7;0.142857143;undirected
125;1554;6;0.166666667;undirected
125;2512;14;0.071428571;undirected
126;1212;9;0.111111111;undirected
126;2513;4;0.25;undirected
126;1416;8;0.125;undirected
126;2514;11;0.090909091;undirected
126;1245;8;0.125;undirected
126;2515;12;0.083333333;undirected
129;2516;2;0.5;undirected
129;2517;14;0.071428571;undirected
129;2518;7;0.142857143;undirected
129;1067;7;0.142857143;undirected
129;2519;8;0.125;undirected
129;2520;6;0.166666667;undirected
130;1386;14;0.071428571;undirected
130;2521;6;0.166666667;undirected
130;2522;6;0.166666667;undirected
130;2523;8;0.125;undirected
130;2524;8;0.125;undirected
130;2525;8;0.125;undirected
131;1009;8;0.125;undirected
131;2526;9;0.111111111;undirected
131;2527;6;0.166666667;undirected
131;2528;13;0.076923077;undirected
131;2529;7;0.142857143;undirected
131;1206;5;0.2;undirected
132;1790;6;0.166666667;undirected
132;1947;10;0.1;undirected
132;1981;11;0.090909091;undirected
132;1425;6;0.166666667;undirected
132;2118;7;0.142857143;undirected
132;2530;16;0.0625;undirected
133;1964;9;0.111111111;undirected
133;1910;8;0.125;undirected
133;2531;8;0.125;undirected
133;2532;10;0.1;undirected
133;1324;9;0.111111111;undirected
133;2069;4;0.25;undirected
134;1939;7;0.142857143;undirected
134;2533;4;0.25;undirected
