


C	1.704	1	124.5	1	30.7	1	320	319	317
O	1.716	1	105.1	1	105.8	1	317	316	313
S	1.392	1	168.8	1	130.7	1	324	317	316
B	1.644	1	124.4	1	137.8	1	325	324	317
C	1.641	1	105.6	1	156.6	1	325	324	313
O	1.629	1	107.7	1	4.3	1	325	324	317
S	1.65	1	111.9	1	174.7	1	328	325	324
C	1.639	1	109.8	1	76.6	1	329	328	325
C	1.693	1	64.5	1	2.5	1	329	328	317
O	1.677	1	108.1	1	156.8	1	329	328	325
S	1.721	1	118.7	1	11	1	332	329	328
B	1.644	1	111.5	1	63.1	1	333	332	329
C	1.739	1	106.7	1	101.6	1	333	332	325
B	1.639	1	101.3	1	46.5	1	333	332	329
O	1.746	1	99.8	1	154.7	1	310	309	306
S	1.658	1	125.7	1	130.1	1	337	310	309
B	1.651	1	57.8	1	100.7	1	338	337	310
C	1.639	1	125	1	70.2	1	338	337	306
O	1.709	1	112.8	1	3.1	1	338	337	310
S	1.665	1	132.4	1	122.1	1	341	338	337
C	1.753	1	105.2	1	114	1	342	341	338
B	1.635	1	111.3	1	94.4	1	342	341	310
O	1.708	1	114	1	82.4	1	342	341	338
S	1.389	1	132.5	1	177.9	1	345	342	341
C	1.71	1	104.1	1	157.1	1	346	345	342
C	1.687	1	106.9	1	159.4	1	346	345	338
O	1.653	1	107.2	1	177.8	1	346	345	342
S	1.671	1	128.6	1	111.5	1	349	346	345
B	1.718	1	44.4	1	2.7	1	350	349	346
O	1.661	1	29.6	1	81.4	1	350	349	342
S	1.742	1	147.9	1	96.5	1	352	350	349
B	1.64	1	108.9	1	105.1	1	353	352	350
O	1.732	1	114.9	1	50.4	1	353	352	342
S	1.821	1	136.6	1	43.2	1	355	353	352
C	1.652	1	109.3	1	175.1	1	356	355	353
C	1.673	1	115.3	1	39.4	1	356	355	342
O	1.638	1	106.2	1	4.2	1	356	355	353
S	1.621	1	178.5	1	110.7	1	359	356	355
B	1.738	1	3.4	1	49.1	1	360	359	356
C	1.639	1	84.9	1	92.9	1	360	359	353
C	1.653	1	103.9	1	72	1	360	359	356
O	1.644	1	121.7	1	69.7	1	353	352	350
S	1.646	1	121.6	1	97.2	1	364	353	352
C	1.733	1	107	1	38.6	1	365	364	353
B	1.634	1	106.2	1	85.4	1	365	364	350
B	1.424	1	102.8	1	16.4	1	365	364	353
O	1.716	1	106.5	1	35.9	1	350	349	346
S	1.69	1	118.6	1	96.5	1	369	350	349
O	1.664	1	103.7	1	155.7	1	370	369	350
S	1.704	1	124.4	1	105.3	1	371	370	369
B	1.661	1	122.5	1	18	1	372	371	370
B	1.624	1	121.4	1	94.8	1	372	371	350
C	1.678	1	104.2	1	75.8	1	372	371	370
O	1.659	1	109.9	1	159.4	1	370	369	350
S	1.737	1	131.6	1	110.3	1	376	370	369
C	1.672	1	106.7	1	14.5	1	377	376	370
O	1.74	1	109.8	1	110.9	1	377	376	350
S	1.702	1	138.7	1	38.2	1	379	377	376
B	1.653	1	106.4	1	3.4	1	380	379	377
B	1.706	1	109.3	1	57.9	1	380	379	350
B	1.68	1	109.4	1	20.1	1	380	379	377
O	1.624	1	102.6	1	35.3	1	377	376	370
S	1.662	1	132.4	1	60.3	1	384	377	376
C	1.637	1	108.8	1	84.2	1	385	384	377
C	1.702	1	112.1	1	126	1	385	384	370
O	1.644	1	104.5	1	36.7	1	385	384	377
S	1.679	1	65.7	1	90.3	1	388	385	384
C	1.69	1	111.9	1	36.4	1	389	388	385
C	1.749	1	3.5	1	159.6	1	389	388	377
C	1.677	1	109.3	1	146.5	1	389	388	385
O	1.667	1	115.2	1	74.9	1	370	369	350
S	1.716	1	150.7	1	65.4	1	393	370	369
C	1.639	1	112.7	1	72.3	1	394	393	370
B	1.734	1	111.5	1	12.4	1	394	393	350
O	1.622	1	120.7	1	4.5	1	394	393	370
S	1.675	1	144.9	1	77.8	1	397	394	393
B	1.691	1	106	1	95.7	1	398	397	394
C	1.7	1	98.9	1	76.5	1	398	397	370
C	1.686	1	115.1	1	123.7	1	398	397	394
